,actualSales,salesPrediction,salesForecasts
0,6200.0,4473.994,
1,4900.0,4473.994,
2,5600.0,5248.6157,
3,5700.0,5261.5664,
4,3800.0,3535.9524,
5,2499.9999999999995,2573.893,
6,2600.0,2806.216,
7,7500.0,7198.7627,
8,5600.0,4962.082,
9,4999.999999999999,4630.3765,
10,5600.0,5237.6006,
11,5500.000000000001,5081.3877,
12,2900.0,2747.2441,
13,2300.0,2492.9539,
14,5100.0,5084.0825,
15,4500.0,4233.9805,
16,3600.0,3487.3755,
17,4000.0,3947.554,
18,6299.999999999999,5976.788,
19,1900.0,1765.2375,
20,2000.0,2333.5874,
21,4500.0,4575.498,
22,4000.0,3848.4546,
23,3100.0,3091.5337,
24,3800.0,3821.9797,
25,2700.0,2753.543,
26,2300.0,2514.8584,
27,900.0,1310.2886,
28,4500.0,4696.551,
29,3800.0,3667.8748,
30,2300.0,2394.4963,
31,3399.9999999999995,3548.9421,
32,4200.0,4150.26,
33,2700.0,2709.7314,
34,1600.0,1888.7091,
35,4700.0,4800.126,
36,4999.999999999999,4729.5635,
37,4000.0,3793.4282,
38,4100.0,3993.8286,
39,4100.0,3982.8157,
40,2000.0,2093.232,
41,3200.0,3401.5283,
42,5100.0,4985.048,
43,4700.0,4414.6123,
44,5100.0,4819.8164,
45,3600.0,3421.441,
46,5400.0,5211.5415,
47,2600.0,2488.793,
48,3399.9999999999995,3515.9194,
49,2900.0,2977.3088,
50,3600.0,3663.411,
51,4999.999999999999,4850.7617,
52,4999.999999999999,4696.502,
53,3300.0,3161.9692,
54,1500.0,1734.2902,
55,2200.0,2556.702,
56,3900.0000000000005,4011.4329,
57,3200.0,3192.6094,
58,4400.0,4352.9834,
59,5300.0,5033.298,
60,3300.0,3129.0688,
61,1800.0,2001.7521,
62,900.0,1364.5697,
63,4700.0,4877.102,
64,5200.0,4910.0464,
65,4500.0,4222.966,
66,5600.0,5292.666,
67,4800.0,4449.82,
68,3399.9999999999995,3274.0422,
69,2400.0,2527.9255,
70,3700.0,3808.76,
71,3600.0,3575.361,
72,4900.0,4760.4946,
73,3300.0,3172.9404,
74,4500.0,4432.3047,
75,3399.9999999999995,3306.9868,
76,2700.0,2797.3882,
77,3800.0,3866.0327,
78,5700.0,5459.734,
79,5800.0,5340.577,
80,4700.0,4337.491,
81,8900.0,8199.851,
82,4600.0,3906.3564,
83,2499.9999999999995,2486.4224,
84,5200.0,5152.266,
85,5500.000000000001,5125.466,
86,6500.0,5991.2837,
87,6299.999999999999,5701.8945,
88,5300.0,4823.9136,
89,3900.0000000000005,3670.1555,
90,2700.0,2742.5862,
91,5800.0,5670.5386,
92,7000.0,6405.3774,
93,6500.0,5826.2334,
94,4800.0,4350.6763,
95,4700.0,4447.6694,
96,3700.0,3555.6199,
97,2600.0,2674.6404,
98,7200.0,6932.922,
99,5600.0,4995.1494,
100,4999.999999999999,4630.3765,
101,6000.0,5597.5537,
102,5900.0,5397.5117,
103,4000.0,3694.453,
104,4100.0,3993.8286,
105,7500.0,7035.8545,
106,5300.0,4691.674,
107,4999.999999999999,4663.4385,
108,4300.0,4064.3528,
109,6100.0,5764.3813,
110,2200.0,2054.517,
111,1699.9999999999998,2032.5002,
112,6700.0,6585.8833,
113,5400.0,4870.0024,
114,5600.0,5193.5356,
115,8200.0,7490.548,
116,7200.0,6319.9917,
117,1100.0,959.7442,
118,1300.0,1796.0009,
119,7100.0,6985.1157,
120,5700.0,5096.2495,
121,3600.0,3355.5652,
122,4100.0,4037.887,
123,3800.0,3711.887,
124,2600.0,2663.6875,
125,4300.0,4328.7427,
126,4800.0,4593.076,
127,4100.0,3905.7407,
128,3100.0,3080.5574,
129,2700.0,2830.2917,
130,3200.0,3324.5122,
131,1900.0,2101.9912,
132,1000.0,1442.3066,
133,7200.0,7106.212,
134,5500.000000000001,4905.037,
135,5800.0,5362.609,
136,7400.0,6761.5044,
137,6200.0,5512.94,
138,4600.0,4203.1445,
139,3200.0,3115.7642,
140,9100.0,8533.747,
141,7200.0,6220.906,
142,4700.0,4183.3545,
143,7500.0,6970.467,
144,5800.0,5142.196,
145,3200.0,2984.2505,
146,3300.0,3359.6968,
147,5400.0,5244.5522,
148,4100.0,3839.7097,
